Region,State,Substation,Type,Voltage Level,Start Date,Actual Date of Completion,latitude,longitude,geocode_status
Northern Region,Haryana,Badshapur,AIS,220kV,,,29.0,76.0,state_center
Western Region,Gujarat,Bagodara,AIS,220kV,,,22.3850051,71.745261,state_center
Northern Region 1,Uttar Pradesh,BAGPAT,GIS,400kV,,,28.9672601,77.6647822,success
Northern Region,Haryana,Bagun PS,AIS,220kV,,,29.0,76.0,state_center
Northern Region,Haryana,Bahadurgarh,AIS,220kV,,,28.6609648,76.8346765,success
Northern Region 1,Haryana,BAHADURGARH,AIS,400kV,,,28.6609648,76.8346765,success
Western Region - II,Madhya Pradesh,BAIRAGARH,AIS,220kV,,,23.1499829,77.4101825,success
Eastern Region - 1,Bihar,Bakhtiyarpur,GIS,400kV,,,25.4586233,85.5369022,success
ODISHA,Odisha,Balasore,AIS,220kV,,,21.5006421,86.919884,success
Northern Region III,Uttar Pradesh,BALIA,AIS,765kV,,,28.1661891,79.515996,success
Eastern Region,Odisha,Balianta (,AIS,220kV,,,20.2715874,85.9088595,success
Eastern Region,Odisha,Balichandarpur Palei GSS,AIS,220kV,JAN-25,12/24,20.5431241,84.6897321,state_center
Eastern Region,Odisha,Baliguda S/S,AIS,220kV,JUN-26,,20.1813146,83.8733221,success_v2_medium
ODISHA,Odisha,Balimela,AIS,220kV,,,18.2296614,82.0630683,success
North Eastern Region,Assam,BALIPARA,AIS,400kV,,,26.8225305,92.7798718,success
Northern Region,Haryana,Ballabgarh,AIS,220kV,,,28.2940728,77.3592238,success
Northern Region 1,Haryana,BALLABHGARH,AIS,400kV,,,28.340002,77.3164509,success
Northern Region III,Uttar Pradesh,Balrampur,AIS,220kV,15-Jul-19,,27.4476988,82.3956245,success
Western Region,Maharashtra,Balsane,AIS,400kV,MAR-20,,18.9068356,75.6741579,state_center
Northern Region,Delhi,Bamnoli S/S,AIS,400kV,MAR-18,,28.5441341,77.0315979,success
Northern Region,Rajasthan,Banar GIS,AIS,220kV,NOV-24,10/24,26.3395264,73.1470625,success_v2_medium
Western Region,Chhattisgarh,BANARI (CHAMPA),AIS,220kV,,,21.6637359,81.8406351,state_center
Western Region,Gujarat,Banaskanta S/S,AIS,400kV,APR-18,,22.3850051,71.745261,state_center
Western Region - II,Gujarat,Banaskantha,AIS,765kV,,,24.2693921,72.1620246,success
Southern Region - II,Karnataka,BANGALORE,AIS,400kV,,,12.9767936,77.590082,success
Eastern Region - 1,Bihar,BANKA,AIS,400kV,,,24.8328273,86.8161114,success
Eastern Region,West Bengal,Bankura PS,AIS,220kV,,,23.132377,87.2081925,success_v2_medium
Northern Region 1,Rajasthan,Bansur,AIS,220kV,,,27.6846426,76.3552224,success
Northern Region,Uttarakhand,Barahamwari New,AIS,220kV,DEC-21,,30.0417376,79.089691,state_center
Northern Region,Uttarakhand,Baram s/s,AIS,220kV,APR-22,,29.8526,80.35401,success_v2_medium
Northern Region III,Uttarakhand,Baram,GIS,220kV,,,29.8526,80.35401,success
Western Region,Maharashtra,BARAMATI,AIS,220kV,,,18.2198537,74.4534054,success
Northern Region,Uttarakhand,Baramwari,AIS,220kV,DEC-23,,30.4843244,79.0764795,success
Northern Region III,Uttar Pradesh,Bara-TPS ICT Installation &,AIS,765kV,,,25.1956733,81.6535431,success_v2_medium
Eastern Region,Bihar,Barauni,AIS,220kV,,,25.4314543,86.0283753,success
Northern Region III,Uttar Pradesh,BAREILLY New,AIS,765kV,,,28.3491364,79.4213871,success
Northern Region,Uttar Pradesh,Bareilly,AIS,220kV,DEC-24,11/24,28.4582344,79.4047452,success
Northern Region III,Uttar Pradesh,BAREILLY,AIS,400kV,,,28.4582344,79.4047452,success
Western Region,Gujarat,Barejadi,AIS,220kV,,,22.8959246,72.6782442,success
Northern Region,Haryana,Barhi,AIS,220kV,,,29.0,76.0,state_center
ODISHA,Odisha,BARIPADA,AIS,400kV,,,21.9342456,86.7308825,success
ODISHA,Odisha,Barkote,AIS,220kV,,,21.545832,84.9788725,success
Northern Region,Himachal Pradesh,Barsaini S/S,AIS,220kV,MAR-16,,31.9292352,77.1828462,state_center
Western Region,Chhattisgarh,BARSOOR,AIS,220kV,,,19.1362384,81.386217,success
Northern Region,Haryana,Barula PS,AIS,220kV,,,29.0,76.0,state_center
Western Region - II,Madhya Pradesh,BARWAHA,AIS,220kV,,,22.2561316,76.0309936,success
Southern Region - II,Karnataka,Basarkod,AIS,220kV,,,15.5811245,74.7552649,success
Northern Region 1,Rajasthan,BASSI,AIS,400kV,,,24.2402328,73.3772464,success
Western Region,Gujarat,Bechrahi,AIS,220kV,,,22.3850051,71.745261,state_center
Eastern Region,West Bengal,Behrampur. S/s,AIS,400kV,DEC-16,,22.9964948,87.6855882,state_center
Western Region,Chhattisgarh,BEMETARA,AIS,220kV,,,21.6783867,81.4412578,success
Eastern Region - 2,West Bengal,BERHAMPUR,AIS,400kV,,,22.9964948,87.6855882,state_center
Southern Region,Andhra Pradesh,Bethamcherla,AIS,220kV,,,15.4517249,78.1471135,success
Western Region - II,Madhya Pradesh,BETUL,AIS,220kV,,,21.8797472,77.8753651,success
Western Region - II,Madhya Pradesh,BETUL,GIS,400kV,,,21.8797472,77.8753651,success
Northern Region,Himachal Pradesh,BHABA,AIS,220kV,,,31.6608917,78.0117032,success
Northern Region,Himachal Pradesh,Bhabha,AIS,220kV,,,31.9292352,77.1828462,state_center
Western Region - II,Gujarat,BHACHAU,AIS,400kV,,,23.3040626,70.3507333,success
Northern Region 1,Rajasthan,BHADLA,AIS,765kV,,,25.2591738,73.9998292,success
Northern Region,Rajasthan,Bhadla-II (,AIS,765kV,,,25.2591738,73.9998292,success
Northern Region 1,Rajasthan,Bhadla-II,AIS,765kV,,,25.2591738,73.9998292,success
Western Region - I,Maharastra,BHADRAWATI,AIS,400kV,,,20.1108408,79.1213108,success
ODISHA,Odisha,Bhanjanagar,AIS,220kV,,,20.0209156,84.4864172,success
Western Region - II,Madhya Pradesh,BHANPURA,AIS,220kV,,,23.7019249,80.4087748,success
Northern Region,Rajasthan,Bharatpur,AIS,220kV,NOV-24,10/24,27.0246959,77.2920116,success
Western Region,Gujarat,Bharuch/Dahej,AIS,765kV,,,22.3850051,71.745261,state_center
Western Region,Gujarat,Bhat S/s,AIS,220kV,JUL-18,04/18,23.1026771,72.6329349,success_v2_medium
Western Region,Gujarat,Bhat,AIS,220kV,,,23.1026771,72.6329349,success
Western Region - I,Chattishgarh,BHATAPARA,AIS,400kV,,,21.2555727,81.6923437,state_center
Western Region,Chhattisgarh,BHATAPARA,AIS,220kV,,,21.7353478,81.9444592,success
Western Region,Maharashtra,Bhenda,AIS,220kV,,,18.9068356,75.6741579,state_center
Western Region,Gujarat,Bhilad,AIS,220kV,,,20.2754926,72.887325,success
Western Region,Chhattisgarh,BHILAI,AIS,220kV,,,21.2120677,81.3732849,success
Western Region - II,Madhya Pradesh,Bhind,AIS,220kV,,,26.3518828,78.6863189,success
Northern Region 1,Rajasthan,BHINMAL,AIS,400kV,,,25.0071053,72.2653077,success
Northern Region,Haryana,Bhiwadi,AIS,220kV,,,28.2117533,76.8386491,success
Northern Region 1,Rajasthan,BHIWADI,AIS,400kV,,,28.2039413,76.837441,success
Northern Region 1,Haryana,BHIWANI,AIS,765kV,,,28.7931703,76.1391283,success
Northern Region,Himachal Pradesh,Bhoktoo,AIS,220kV,,,31.9292352,77.1828462,state_center
Southern Region,Telangana,Bhoopalapally S/S,AIS,400kV,,,17.8495919,79.1151663,state_center
Southern Region,Telangana,Bhoopalapally SS,AIS,400kV,,,17.8495919,79.1151663,state_center
Western Region - II,Madhya Pradesh,BHOPAL,AIS,220kV,,,23.2584857,77.401989,success
Western Region - II,Madhya Pradesh,BHOPAL,AIS,400kV,,,23.2584857,77.401989,success
Western Region - II,Gujarat,Bhuj,AIS,765kV,,,23.2472446,69.668339,success
Western Region - II,Gujarat,Bhuj-II,GIS,765kV,,,23.2472446,69.668339,success
Southern Region,Telangana,Bhupalapally SS,AIS,220kV,JUN-24,,17.8495919,79.1151663,state_center
Western Region,Gujarat,Bhutiya,AIS,220kV,,,23.0619977,73.2337622,success
Southern Region - II,Karnataka,BIDADI,GIS,400kV,,,12.7981864,77.4020512,success
ODISHA,Odisha,Bidanasi,AIS,220kV,,,20.4820141,85.8408058,success
Southern Region - I,Andhra Pradesh,Bidar,AIS,765kV,,,15.9240905,80.1863809,state_center
Western Region,Maharashtra,Bidkin T/f,AIS,220kV,MAR-22,,19.7038137,75.3022753,success_v2_medium
Eastern Region,Bihar,Biharshariff S/S,AIS,220kV,DEC-16,,25.6440845,85.906508,state_center
Eastern Region - 1,Bihar,BIHARSHRIFF,AIS,400kV,,,25.6440845,85.906508,state_center
Eastern Region,Bihar,Bihta S/S,AIS,220kV,,,25.561037,84.8723411,success_v2_medium
Northern Region,Haryana,Bijawa,AIS,220kV,,,29.0,76.0,state_center
Northern Region III,Uttar Pradesh,Bijnor,AIS,220kV,19-Jul-19,,29.4074203,78.4821406,success
Northern Region,Rajasthan,Bikaner PS,AIS,400kV,JAN-24,,28.0159286,73.3171367,success_v2_medium
Northern Region 1,Rajasthan,BIKANER,AIS,400kV,,,28.0159286,73.3171367,success
Northern Region,Rajasthan,Bikaner,AIS,765kV,SEP-24,,28.0159286,73.3171367,success
Northern Region 1,Rajasthan,Bikaner-II PS,AIS,400kV,,,28.0159286,73.3171367,success_v2_medium
Northern Region 1,Rajasthan,Bikaner-II,AIS,400kV,,,28.0159286,73.3171367,success
Southern Region,Karnataka,Bilagi s/s,AIS,220kV,OCT-24,,16.3464175,75.6190861,success_v2_medium
Western Region - I,Chattishgarh,BILASPUR,AIS,765kV,,,21.2555727,81.6923437,state_center
Western Region,Chhattisgarh,Bilaspur,AIS,400kV,MAR-25,,22.1638486,82.1365923,success
Western Region - II,Madhya Pradesh,BINA,AIS,220kV,,,24.1712328,78.1851809,success
Western Region - II,Madhya Pradesh,BINA,AIS,400kV,,,24.1712328,78.1851809,success
Western Region - II,Madhya Pradesh,BINA,AIS,765kV,,,24.1712328,78.1851809,success
Eastern Region - 2,West Bengal,BIRPARA,AIS,220kV,,,26.711324,89.1390175,success
Western Region - II,Madhya Pradesh,BIRSINGHPUR,AIS,220kV,,,24.800264,80.9767153,success
North Eastern Region,Assam,BISHWANATH CHARIALI,AIS,400kV,,,26.7203673,93.1428974,success
Eastern Region,Bihar,Bodhgaya,AIS,220kV,DEC-16,,24.6962612,84.9937642,success
Western Region - II,Maharastra,BOISOR,AIS,400kV,,,18.9068356,75.6741579,state_center
ODISHA,Odisha,BOLANGIR,AIS,400kV,,,20.7502257,83.2499464,success
ODISHA,Odisha,Bonai,AIS,220kV,,,20.5431241,84.6897321,state_center
Northern Region III,Uttar Pradesh,Boner,AIS,220kV,,,27.1303344,80.859666,state_center
North Eastern Region,Assam,BONGAIGAON,AIS,400kV,,,26.4800126,90.5580387,success
Southern Region,Telangana,Bonguloor S/S,AIS,220kV,,,17.230314,78.5785014,success_v2_medium
Northern Region III,Uttar Pradesh,Botanical Garden Sector 38A,AIS,220kV,,,27.1303344,80.859666,state_center
Southern Region - I,Telangana,Bowrampet,AIS,220kV,,,17.5610356,78.3982185,success
Southern Region - II,Kerala,Brahmapuram,AIS,220kV,,,9.9982499,76.3694144,success
Northern Region,Jammu & Kashmir,Budgam 2nd Trf.,AIS,220kV,,,33.6649297,75.1629584,state_center
Northern Region,Jammu & Kashmir,Budgam,AIS,220kV,,,33.9098746,74.6270357,success
ODISHA,Odisha,Budhipadar,AIS,220kV,,,20.8984481,83.5208559,success
Western Region - II,Madhya Pradesh,Budhni,AIS,220kV,,,22.786886,77.6814749,success
Northern Region III,Uttar Pradesh,Bukhari Basti,GIS,400kV,,,27.1303344,80.859666,state_center
Northern Region III,Uttar Pradesh,Bus Reactor Bay,AIS,400kV,,,27.1303344,80.859666,state_center
Western Region,Maharashtra,Butibori Addl T/F,AIS,220kV,MAR-21,,18.9068356,75.6741579,state_center
North Eastern Region,Meghalaya,BYRNIHAT,AIS,400kV,,,26.0543348,91.8696498,success
Eastern Region - 1,Jharkhand,CHAIBASA,AIS,400kV,,,22.5483518,85.8188876,success
Northern Region II,Himachal Pradesh,CHAMBA,GIS,400kV,,,32.6923316,76.1631552,success
Western Region,Maharashtra,Chamorshi T/F,AIS,220kV,SEP-19,,19.9370829,79.8893906,success_v2_medium
Western Region - I,Chattishgarh,CHAMPA PS,AIS,765kV,,,21.2555727,81.6923437,state_center
ODISHA,Odisha,Chandaka,AIS,220kV,,,20.3218354,85.7192517,success
ODISHA,Odisha,Chandaka-B,AIS,220kV,,,20.3669374,85.7672381,success
