Region,State,Substation,Type,Voltage Level,Start Date,Actual Date of Completion,latitude,longitude,geocode_status
Northern Region III,Uttar Pradesh,Faridpur (Bareilly),AIS,220kV,,,28.2083265,79.5375964,success
Northern Region III,Uttar Pradesh,Faridpur,AIS,220kV,,,28.2083265,79.5375964,success
Northern Region II,Haryana,FATEHABAD,AIS,400kV,,,29.5359209,75.5752901,success
Northern Region,Uttar Pradesh,Fatehgarh-3,AIS,765kV,FEB-25,,27.3632957,79.6279515,success
Northern Region 1,Rajasthan,FATEHGARH-II,AIS,765kV,,,29.5104498,74.2432434,success
Northern Region 1,Rajasthan,FATEHGARH-III,AIS,400kV,,,26.8105777,73.7684549,state_center
Northern Region III,Uttar Pradesh,FATEHPUR,AIS,765kV,,,25.8348023,80.9154547,success
Western Region,Gujarat,Fedra S/S,AIS,400kV,MAR-21,,22.4535565,72.1599905,success_v2_medium
Northern Region,Uttar Pradesh,Firozabad S/S,AIS,220kV,,,27.1941954,78.4604956,success_v2_medium
Northern Region,Uttar Pradesh,Firozabad S/S,AIS,400kV,,,27.1941954,78.4604956,success_v2_medium
Northern Region III,Uttar Pradesh,Firozabad,AIS,400kV,,,27.1941954,78.4604956,success
Western Region - I,Maharastra,Five star MIDC,AIS,220kV,,,16.6223809,74.350228,success
Eastern Region,West Bengal,Food Park 220 KV GIS,AIS,220kV,SEP-24,08/24,22.9964948,87.6855882,state_center
Western Region,Maharashtra,GADCHIROLI,AIS,220kV,,,19.7590704,80.1622807,success
Western Region,Madhya Pradesh,Gandhinagar S/S,AIS,220kV,,,22.826531,78.8856071,success_v2_medium
Southern Region,Karnataka,Gangavathi s/s,AIS,220kV,,,15.4308872,76.5319723,success_v2_medium
Northern Region,Jammu and Kashmir,Gangavathi,AIS,220kV,,,33.6649297,75.1629584,state_center
Western Region - II,Madhya Pradesh,GANJBASODA,AIS,220kV,,,23.8143419,77.5340719,state_center
Western Region,Gujarat,Gatrad S/S,AIS,220kV,,,22.9789376,72.7053047,success_v2_medium
Western Region,Gujarat,Gavasad,AIS,220kV,,,22.3850051,71.745261,state_center
Eastern Region - 1,Bihar,GAYA,AIS,765kV,,,24.679389,85.0115833,success
Southern Region - I,Andhra Pradesh,GAZUWAKA,AIS,400kV,,,15.9240905,80.1863809,state_center
Northern Region,Delhi,Geeta Colony,AIS,220kV,MAR-17,,28.6510892,77.2749996,success
Western Region,Maharashtra,Georai,AIS,220kV,MAR-25,,19.2621403,75.7396019,success
Northern Region,Uttarakhand,Ghansali New,AIS,220kV,DEC-18,,30.0417376,79.089691,state_center
Northern Region,Uttarakhand,Ghansali,AIS,220kV,DEC-21,,30.603913,78.7305223,success
Western Region - II,Gujarat,Ghodasar,AIS,220kV,,,22.9735213,72.8644393,success
Northern Region,Himachal Pradesh,Giri,AIS,220kV,,,30.9002389,77.2296313,success
Western Region,Maharashtra,Girnare T/F,AIS,220kV,MAR-20,,20.0742649,73.6609469,success_v2_medium
Northern Region,Haryana,GIS Rai S/s,AIS,220kV,,,29.0,76.0,success_v2_medium
Northern Region,Haryana,GIS Sector,AIS,220kV,,,29.0,76.0,success_v2_medium
Northern Region,Delhi,GIS Timarpur,AIS,220kV,MAY-24,03/24,28.6328027,77.2197713,success_v2_medium
Eastern Region,Odisha,Gobindpalli,AIS,220kV,JUN-25,,20.5431241,84.6897321,state_center
Southern Region,Andhra Pradesh,Godavari Dist.,AIS,220kV,JUN-24,05/24,15.9240905,80.1863809,state_center
Southern Region,Andhra Pradesh,Godavari Dist,AIS,220kV,JUN-24,05/24,15.9240905,80.1863809,state_center
Western Region,Gujarat,Godhra,AIS,220kV,,,22.7785001,73.6245157,success
Northern Region III,Uttar Pradesh,Gola,AIS,220kV,30-Sep-19,,26.3635958,83.3641374,success
Eastern Region,Jharkhand,Gola-B,AIS,220kV,,,23.5335629,85.7171737,success
Eastern Region,Jharkhand,Gola-B,AIS,400kV,,,23.5335629,85.7171737,success
Northern Region,Uttar Pradesh,Gonda,AIS,400kV,SEP-25,,27.1103723,81.9238906,success
Southern Region - I,Andhra Pradesh,GOOTY,AIS,400kV,,,15.12279,77.636011,success
Northern Region,Delhi,Gopalpur GIS,AIS,400kV,MAR-22,,28.6328027,77.2197713,state_center
Northern Region,Delhi,Gopalpur,GIS,400kV,,,28.6328027,77.2197713,state_center
Northern Region,Delhi,Goplapur S/S,AIS,220kV,MAR-21,,28.6328027,77.2197713,state_center
Western Region - II,Madhya Pradesh,GORABAZAR,AIS,220kV,,,23.8143419,77.5340719,state_center
Northern Region III,Uttar Pradesh,GORAKHPUR,AIS,400kV,,,26.6677977,83.3642334,success
Western Region,Maharashtra,Goregaon Filmcity T/F - I,AIS,220kV,MAR-20,,18.9068356,75.6741579,state_center
Western Region,Maharashtra,Goregaon Filmcity T/F,AIS,220kV,MAR-20,,18.9068356,75.6741579,state_center
Western Region,Gujarat,Gotri,AIS,220kV,,,22.3142488,73.1388124,success
Northern Region,Uttar Pradesh,Greater Noida AIS,AIS,765kV,,,27.1303344,80.859666,state_center
Eastern Region,Jharkhand,GSS Baliyapur s/s,AIS,220kV,,,23.4559809,85.2557301,success_v2_medium
Eastern Region,Jharkhand,GSS Barkatha s/s,AIS,220kV,,,23.4559809,85.2557301,success_v2_medium
Eastern Region,Jharkhand,GSS Chandil s/s,AIS,400kV,,,23.4559809,85.2557301,success_v2_medium
Eastern Region,Jharkhand,GSS Chandrapura s/s,AIS,220kV,,,23.4559809,85.2557301,success_v2_medium
Eastern Region,Jharkhand,GSS Domchanch s/s,AIS,220kV,,,23.4559809,85.2557301,success_v2_medium
Eastern Region,Jharkhand,GSS Dumka s/s,AIS,400kV,,,23.4559809,85.2557301,state_center
Eastern Region,Jharkhand,GSS Gomia/Kathara,AIS,220kV,,,23.4559809,85.2557301,success_v2_medium
Eastern Region,Jharkhand,GSS Jadugoda s/s,AIS,220kV,,,23.4559809,85.2557301,success_v2_medium
Eastern Region,Jharkhand,GSS Jasidih s/s,AIS,400kV,,,23.4559809,85.2557301,success_v2_medium
Eastern Region,Jharkhand,GSS Khunti s/s,AIS,220kV,,,23.4559809,85.2557301,success_v2_medium
Eastern Region,Jharkhand,GSS Koderma s/s,AIS,400kV,,,23.4559809,85.2557301,success_v2_medium
Eastern Region,Jharkhand,GSS Mander s/s,AIS,400kV,MAR-24,,23.4559809,85.2557301,success_v2_medium
Eastern Region,Jharkhand,GSS Noamundi s/s,AIS,220kV,,,23.4559809,85.2557301,success_v2_medium
Eastern Region,Jharkhand,GSS PTPS,AIS,220kV,,,23.4559809,85.2557301,success_v2_medium
Eastern Region,Jharkhand,GSS Simdega s/s,AIS,220kV,,,23.4559809,85.2557301,success_v2_medium
Eastern Region,Jharkhand,GSS Tamar s/s,AIS,220kV,,,23.4559809,85.2557301,success_v2_medium
Eastern Region,Jharkhand,GSS Topchanchi s/s,AIS,220kV,,,23.4559809,85.2557301,success_v2_medium
Western Region - II,Madhya Pradesh,GUDGAON,AIS,220kV,,,21.6005626,77.7156496,success
Southern Region,Andhra Pradesh,Gudivada,AIS,400kV,APR-25,,16.4330413,80.9936856,success
Southern Region,Karnataka,Gulbarga S/S,AIS,400kV,SEP-19,,16.5836136,77.2757634,success
Northern Region,Himachal Pradesh,Gumma,AIS,220kV,,,31.964557,76.8521014,success
Northern Region,Himachal Pradesh,Gumma,AIS,400kV,,,31.964557,76.8521014,success
Western Region - II,Madhya Pradesh,GUNA,AIS,220kV,,,24.5001772,77.2600959,success
Western Region - II,Madhya Pradesh,Guna,AIS,400kV,,,24.5001772,77.2600959,success
Southern Region,Andhra Pradesh,Guntur Dist,AIS,400kV,MAR-25,02/25,16.4418901,80.5866942,success
Northern Region 1,Haryana,GURGAON,GIS,400kV,,,28.4646148,77.0299194,success
Northern Region,Haryana,Gurgoan Sector-107 GIS,AIS,220kV,AUG-21,,29.0,76.0,state_center
Western Region,Chhattisgarh,GURUR,AIS,220kV,,,20.6829433,81.4016832,success
Western Region - II,Madhya Pradesh,GWALIOR MAHALGAON,AIS,220kV,,,23.8143419,77.5340719,state_center
Western Region - II,Madhya Pradesh,GWALIOR,AIS,765kV,,,26.2037247,78.1573628,success
Western Region - II,Madhya Pradesh,GWALIOR-II,AIS,220kV,,,26.2037247,78.1573628,success
Western Region,Gujarat,Hadala,AIS,400kV,,,22.4403247,70.7619095,success
Western Region,Gujarat,Haldarwa,AIS,220kV,,,22.3850051,71.745261,state_center
Western Region,Gujarat,Halvad,AIS,220kV,,,23.0182418,71.1833818,success
Western Region,Gujarat,Halvad,AIS,400kV,,,23.0182418,71.1833818,success
Northern Region II,Himachal Pradesh,HAMIRPUR,GIS,400kV,,,31.687996,76.5192522,success
Northern Region,Himachal Pradesh,Hamirpur-II,AIS,220kV,,,31.6848695,76.5254488,success
Western Region,Madhya Pradesh,Handia S/S,AIS,400kV,,,23.8143419,77.5340719,state_center
Western Region - II,Madhya Pradesh,HANDIYA,AIS,220kV,,,22.4821606,76.9871929,success
Northern Region 1,Haryana,Harfali,AIS,220kV,,,29.0,76.0,state_center
Southern Region - II,Karnataka,HASSAN,AIS,400kV,,,13.0301852,76.1744968,success
Northern Region,Himachal Pradesh,Hatkoti,AIS,220kV,,,31.1308028,77.7457165,success
Eastern Region,Jharkhand,Hazaribagh s/s,AIS,220kV,,,24.0866962,85.4912231,success_v2_medium
Northern Region,Himachal Pradesh,Heiling,AIS,220kV,,,31.9292352,77.1828462,state_center
Southern Region,Andhra Pradesh,Hindupur,AIS,400kV,,,13.8306127,77.492635,success
Western Region,Maharashtra,Hingoli T/f,AIS,220kV,MAR-19,,19.5431163,77.1739432,success_v2_medium
Western Region,Maharashtra,Hinjewadi T/F,AIS,220kV,MAR-18,,18.5924659,73.7606865,success_v2_medium
Southern Region - II,Karnataka,HIRIYUR,AIS,400kV,,,13.9443237,76.6167407,success
Northern Region 1,Haryana,HISSAR,AIS,400kV,,,29.813025,76.4776537,success
Southern Region - II,Karnataka,Hoody,AIS,400kV,,,12.994363,77.7203698,success
Southern Region - II,Karnataka,Hosakote,AIS,220kV,,,13.4599411,77.2148778,success
Western Region - II,Madhya Pradesh,HOSHANGABAD,AIS,220kV,,,22.7545538,77.7198249,success
Southern Region - II,Tamil Nadu,HOSUR,AIS,400kV,,,12.7183361,77.8229481,success
Northern Region,Haryana,HSIIDC Rai Sonepat (,AIS,220kV,,,29.0,76.0,state_center
Northern Region,Haryana,HSIIDC Rai Sonepat,AIS,220kV,,,29.0,76.0,state_center
Southern Region,Telangana,Husnabad s/s,AIS,220kV,AUG-24,,18.1266495,79.2111468,success_v2_medium
Southern Region,Telangana,Husnabad,AIS,220kV,MAY-24,,18.1266495,79.2111468,success
Southern Region,Telangana,Huzumagar S/S,AIS,220kV,,,17.8495919,79.1151663,state_center
Northern Region,Haryana,HVPNL),AIS,220kV,AUG-24,07/24,28.4561866,77.0358549,success
Southern Region - I,Andhra Pradesh,Hyderabad,AIS,400kV,,,15.8142294,78.0268079,success
Southern Region - I,Telangana,HYDERABAD,AIS,400kV,,,17.360589,78.4740613,success
Western Region,Gujarat,Ichchhapore,AIS,220kV,,,21.1892898,72.7213149,success
Northern Region 1,Rajasthan,IG Nagar,AIS,220kV,,,26.8105777,73.7684549,state_center
Northern Region III,Uttar Pradesh,IITGNL,AIS,220kV,12-Dec-18,,27.1303344,80.859666,state_center
North Eastern Region,Manipur,IMPHAL (PG),AIS,400kV,,,24.7991162,93.9364419,success_v2_medium
North Eastern Region,Manipur,IMPHAL,AIS,400kV,,,24.7991162,93.9364419,success
Northern Region,Haryana,IMT Manesar,AIS,220kV,,,28.3671851,76.920669,success
Southern Region,Karnataka,in Bidar Dist.),AIS,220kV,MAR-25,02/25,14.5203896,75.7223521,state_center
Western Region - II,Madhya Pradesh,INDORE (NORTH ZONE),AIS,220kV,,,22.7203616,75.8681996,success_v2_medium
Western Region - II,Madhya Pradesh,INDORE (SOUTH ZONE),AIS,220kV,,,22.7203616,75.8681996,success_v2_medium
Western Region - II,Madhya Pradesh,INDORE,AIS,400kV,,,22.7203616,75.8681996,success
Western Region - II,Madhya Pradesh,INDORE,AIS,765kV,,,22.7203616,75.8681996,success
Western Region - II,Madhya Pradesh,INDORE-II (JETPURA),AIS,220kV,,,22.5902303,75.1778864,success
ODISHA,Odisha,INDRAVATI,AIS,400kV,,,19.2275,82.8279449,success
ODISHA,Odisha,Infocity-II,AIS,220kV,,,20.3428251,85.8063721,success
Northern Region,Uttar Pradesh,Integrated Township Noida S/s,AIS,220kV,,,27.1303344,80.859666,state_center
Western Region - II,Madhya Pradesh,ITARSI,AIS,220kV,,,22.6122527,77.7782601,success
Western Region - II,Madhya Pradesh,ITARSI,AIS,400kV,,,22.6122527,77.7782601,success
North Eastern Region,Sikkim,J and K) Drass,AIS,220kV,,,27.6021259,88.4561608,state_center
North Eastern Region,Sikkim,J and K) Kargil,AIS,220kV,,,27.6021259,88.4561608,state_center
Western Region - II,Madhya Pradesh,JABALPUR PS,AIS,765kV,,,23.1701522,79.9324505,success_v2_medium
Western Region - II,Madhya Pradesh,JABALPUR,AIS,220kV,,,23.1701522,79.9324505,success
Western Region - II,Madhya Pradesh,JABALPUR,AIS,400kV,,,23.1701522,79.9324505,success
Southern Region,Telangana,Jadcherla S/S,AIS,220kV,,,16.7699159,78.1377227,success_v2_medium
Eastern Region,Jharkhand,Jainamore GSS,AIS,220kV,MAR-23,,23.6637204,86.0222634,success_v2_medium
Eastern Region,Jharkhand,Jainamore,AIS,220kV,,,23.6637204,86.0222634,success
Northern Region 1,Rajasthan,JAIPUR SOUTH,AIS,400kV,,,26.8105777,73.7684549,state_center
Northern Region 1,Rajasthan,Jaisalmer-2,AIS,400kV,,,26.9116615,70.9124888,success
Northern Region,Haryana,Jajji,AIS,400kV,,,29.0,76.0,state_center
Northern Region II,Punjab,JALANDHAR,AIS,400kV,,,31.2922312,75.5678878,success
Western Region,Maharashtra,JALNA,AIS,220kV,,,19.918833,75.8708599,success
Western Region - I,Maharastra,Jambhul,AIS,220kV,,,18.1070647,73.0825192,success
Western Region,Gujarat,Jambuva,AIS,220kV,,,22.2142841,73.1954875,success
Western Region,Gujarat,Jamla,AIS,220kV,,,23.3991341,72.5742553,success
Western Region,Gujarat,Jamnagar,AIS,220kV,,,22.4732415,70.0552102,success
Eastern Region - 1,Jharkhand,JAMSHEDPUR,AIS,400kV,,,22.8015194,86.2029579,success
Western Region - II,Gujarat,Jangral,AIS,220kV,,,22.3850051,71.745261,state_center
Western Region - II,Madhya Pradesh,JAORA,AIS,220kV,,,23.6379392,75.1281756,success
Northern Region,Delhi,Jasola GIS,AIS,220kV,MAR-20,,28.5427353,77.2913342,success_v2_medium
Northern Region,Himachal Pradesh,Jassore,AIS,220kV,,,31.9292352,77.1828462,state_center
Western Region,Maharashtra,JATH,AIS,220kV,,,17.0489913,75.21771,success
Northern Region III,Uttarakhand,Jauljivi,GIS,400kV,,,30.0417376,79.089691,state_center
Northern Region III,Uttar Pradesh,Jaunpur,AIS,400kV,21-Oct-19,,25.7967065,82.4888992,success
ODISHA,Odisha,Jayanagar,AIS,220kV,,,18.8525218,82.5590916,success
Southern Region,Karnataka,Jeerapur s/s,AIS,400kV,,,14.5203896,75.7223521,state_center
Eastern Region - 2,West Bengal,Jeerut,AIS,400kV,,,22.9964948,87.6855882,state_center
Northern Region III,Uttar Pradesh,Jehta (Hardoi Road),GIS,400kV,,,27.1303344,80.859666,state_center
Northern Region,Himachal Pradesh,Jeori,AIS,220kV,,,31.4632802,76.8170285,success
Western Region,Gujarat,Jetpur,AIS,400kV,,,21.7543725,70.6189391,success
ODISHA,Odisha,JEYPORE,AIS,400kV,,,18.8812875,82.552768,success
ODISHA,Odisha,JHARSUGUDA,AIS,765kV,,,21.8019368,83.9713964,success
Northern Region,Delhi,Jhatikalan,AIS,400kV,MAR-23,,28.6328027,77.2197713,state_center
Northern Region,Delhi,Jhatikara S/S,AIS,765kV,SEP-21,,28.5229951,76.9670028,success
Northern Region 1,Delhi,JHATIKARA,AIS,765kV,,,28.5229951,76.9670028,success
Northern Region 1,Haryana,JIND,AIS,400kV,,,29.3152073,76.314082,success
ODISHA,Odisha,Joda,AIS,220kV,,,22.0324027,85.4566847,success
Western Region - II,Madhya Pradesh,JULWANIA,AIS,220kV,,,21.8748578,75.2033652,success
Western Region - II,Madhya Pradesh,JULWANIYA,AIS,400kV,,,21.6597812,75.1135663,success
Southern Region,Tamil Nadu,Kadalangudy,AIS,220kV,DEC-15,12/15,10.9094334,78.3665347,state_center
Western Region,Goa,Kadamba GIS,AIS,220kV,MAR-19,,15.5382853,73.8299407,success_v2_medium
Southern Region - I,Andhra Pradesh,KADAPA,GIS,765kV,,,14.4752936,78.8216861,success
Northern Region II,Haryana,KAITHAL,AIS,400kV,,,29.7996588,76.3989903,success
Southern Region,Kerala,Kakkad,AIS,220kV,JUN-25,,11.0366863,75.9370753,success
Western Region - II,Gujarat,KALA,GIS,400kV,,,23.3061466,72.3393616,success
Northern Region,Himachal Pradesh,Kala-Amb,AIS,220kV,,,32.0131069,76.6687667,success
Southern Region - II,Kerala,Kalamassery,AIS,220kV,,,10.0573412,76.3310412,success
Southern Region - II,Tamil Nadu,KALIBANDHAPATU,AIS,400kV,,,10.9094334,78.3665347,state_center
Southern Region,Andhra Pradesh,Kalpaka-II S/s,AIS,400kV,AUG-20,,15.9240905,80.1863809,state_center
Southern Region,Telangana,Kamalapuram Substation,AIS,400kV,MAY-24,04/24,18.2680934,80.4849764,success_v2_medium
Western Region,Gujarat,Kangasiyali,AIS,220kV,,,22.3850051,71.745261,state_center
Northern Region,Himachal Pradesh,Kangoo,AIS,220kV,,,31.4316475,76.8436468,success
Southern Region - II,Kerala,Kaniyampetta,AIS,220kV,,,10.3528744,76.5120396,state_center
Southern Region - II,Kerala,Kanjirode,AIS,220kV,,,10.3528744,76.5120396,state_center
Northern Region 1,Rajasthan,KANKROLI,AIS,400kV,,,25.0588278,73.885664,success
Northern Region III,Uttar Pradesh,KANPUR New,GIS,765kV,,,27.1303344,80.859666,state_center
Northern Region III,Uttar Pradesh,KANPUR,AIS,400kV,,,26.4609135,80.3217588,success
Western Region - II,Madhya Pradesh,KANWAN,AIS,220kV,,,22.8731494,75.261826,success
Western Region,Gujarat,Kapadwanj,AIS,220kV,,,23.0226211,73.0776832,success
Southern Region - II,Tamil Nadu,KARAIKUDI,AIS,400kV,,,10.0728444,78.7795194,success
Western Region,Gujarat,Karamsad,AIS,220kV,,,22.541545,72.9048945,success
Northern Region,Uttarakhand,Karanprayag,AIS,400kV,JUN-17,,30.2624653,79.2166407,success
Northern Region II,UT-Ladakh,KARGIL,GIS,220kV,,,33.5232404,77.7179641,state_center
Northern Region,Himachal Pradesh,Karian,GIS,220kV,,,31.9292352,77.1828462,state_center
Western Region,Gujarat,Karjan,AIS,220kV,,,22.0523055,73.1216703,success
Southern Region,Karnataka,Karnataka Part-A Phase-I),AIS,400kV,OCT-24,09/24,14.5203896,75.7223521,state_center
Northern Region,Delhi,Karol Bagh GIS,AIS,220kV,MAR-19,,28.6328027,77.2197713,state_center
Southern Region,Kerala,Kasargode,AIS,400kV,JUL-23,,10.5684743,76.1959722,success
Northern Region III,Uttar Pradesh,Kasganj,AIS,220kV,25-May-18,,27.7888527,78.8229701,success
Northern Region 1,Uttarakhand,Kashipur,AIS,220kV,,,29.2117573,78.9617306,success
Northern Region 1,Uttarakhand,Kashipur,AIS,400kV,,,29.2117573,78.9617306,success
Western Region,Gujarat,Kasor,AIS,400kV,,,22.6340857,73.0124186,success
Western Region - II,Madhya Pradesh,KATNI,AIS,400kV,,,23.7176393,80.2610181,success
Western Region,Maharashtra,Kaudgaon T/f,AIS,220kV,MAR-21,,18.9068356,75.6741579,state_center
Western Region,Gujarat,Kawant,AIS,220kV,,,22.0931741,74.0504514,success
Southern Region,Tamil Nadu,Kayathar 400/230-110 KV SS,AIS,400kV,AUG-24,07/24,10.9094334,78.3665347,state_center
ODISHA,Odisha,KEONJHAR,AIS,400kV,,,21.5,85.5,success
Western Region,Gujarat,Keshod,AIS,220kV,,,21.3148629,70.2678937,success
Western Region,Maharashtra,Kesurdi MIDC T/F,AIS,220kV,MAR-19,,18.9068356,75.6741579,state_center
Northern Region II,Laddakh,KHALSTI,GIS,220kV,,,33.9456407,77.6568576,state_center
Southern Region - I,Telangana,KHAMMAM,AIS,400kV,,,17.2465351,80.1500326,success
Eastern Region,West Bengal,Khanakul 220 KV GIS,AIS,220kV,MAR-25,,22.9964948,87.6855882,state_center
Western Region,Maharashtra,Khandeshwar T/F,AIS,220kV,MAR-20,,18.9068356,75.6741579,state_center
Western Region - II,Madhya Pradesh,KHANDWA,AIS,400kV,,,21.8203752,76.3555424,success
Western Region,Gujarat,Khanpur,AIS,220kV,,,22.3638559,72.8134534,success
Western Region - I,Maharastra,Kharghar,AIS,400kV,,,19.0525298,73.0735111,success
Northern Region,Haryana,Kharkhoda,AIS,220kV,,,28.9027674,76.903736,success
Western Region - II,Gujarat,Khavda PS1,AIS,765kV,,,23.8244987,69.7298378,success
Western Region - II,Gujrat,Khavda PS2,GIS,765kV,,,22.3367527,73.2270971,state_center
Western Region - II,Gujrat,Khavda PS3,GIS,765kV,,,22.3367527,73.2270971,state_center
Western Region,Chhattisgarh,KHEDAMARA,AIS,400kV,,,21.6637359,81.8406351,state_center
Western Region,Gujarat,Kheralu,AIS,220kV,,,23.8851474,72.6172316,success
Northern Region 1,Rajasthan,KHETRI,AIS,765kV,,,28.0003366,75.784133,success
Northern Region,Uttar Pradesh,Khorabar S/s,AIS,220kV,JUN-25,,27.1303344,80.859666,state_center
Eastern Region,Odisha,Kiakata,AIS,220kV,MAR-26,,20.8757343,84.338311,success
Northern Region III,Uttar Pradesh,Kidwai Nagar (Govind Nagar,AIS,220kV,,,27.1303344,80.859666,state_center
North Eastern Region,Meghalaya,Killing S/S,AIS,400kV,FEB-15,,25.5379432,91.2999102,state_center
Western Region,Gujarat,Kim,AIS,220kV,,,21.3996957,72.92659,success
Western Region,Maharashtra,KINI,AIS,220kV,,,18.2967374,76.0833049,success
Western Region - II,Madhya Pradesh,KIRNAPUR,AIS,400kV,,,21.626404,80.3329713,success
Eastern Region - 1,Bihar,KISHANGANJ,GIS,400kV,,,26.2984144,87.9466715,success
Northern Region II,Jammu & Kashmir,KISHENPUR,AIS,400kV,,,33.6649297,75.1629584,state_center
Southern Region,Telangana,KMTP SS,AIS,220kV,JUN-24,,17.8495919,79.1151663,state_center
Southern Region - II,Kerala,KOCHI,AIS,400kV,,,9.9982499,76.3694144,success
Eastern Region,Jharkhand,Koderma s/s,AIS,220kV,,,23.4559809,85.2557301,state_center
North Eastern Region,Nagaland,Kohima S/S,AIS,220kV,DEC-18,,26.2754146,94.4643778,success
Western Region,Maharashtra,Kohlapur S/S,AIS,400kV,NOV-15,,18.9068356,75.6741579,state_center
Southern Region - II,Karnataka,KOLAR AC,AIS,400kV,,,13.1367201,78.1337246,success
Western Region - I,Maharastra,KOLHAPUR,GIS,400kV,,,,,error
Northern Region,Jammu & Kashmir,Kopli S/S,AIS,220kV,JUN-18,,,,error
Western Region,Gujarat,Kosamba,AIS,400kV,,,,,error
Northern Region 1,Rajasthan,KOTA,AIS,400kV,,,,,error
Western Region - II,Madhya Pradesh,KOTAR,AIS,220kV,,,,,error
Eastern Region,West Bengal,Kotasur GIS,AIS,220kV,MAR-20,,,,error
Northern Region 1,Uttarakhand,KOTESHWAR,GIS,765kV,,,,,error
Northern Region,Himachal Pradesh,Koti S/S,AIS,220kV,,,,,error
Western Region,Chhattisgarh,"KOTMIKALA, PENDRA",AIS,220kV,,,,,error
Northern Region,Rajasthan,Kotputli PG,AIS,400kV,DEC-25,,,,error
Northern Region,Rajasthan,Kotputli S/S,AIS,400kV,,,,,error
Northern Region 1,Rajasthan,KOTPUTLI,AIS,400kV,,,,,error
Southern Region - II,Kerala,KOZHIKODE,AIS,400kV,,,,,error
Southern Region,Andhra Pradesh,Krishnagiri S/s,AIS,220kV,JUL-24,06/24,,,error
Western Region,Maharashtra,Krishnoor s/s,AIS,220kV,,,,,error
Southern Region,Telangana,KTPP SS,AIS,400kV,,,,,error
Eastern Region,Odisha,Kuanrmunda S/S,AIS,220kV,JUL-24,,,,error
Southern Region,Karnataka,Kudgi S/S,AIS,765kV,DEC-15,,,,error
Southern Region - II,Karnataka,KUDGI,GIS,400kV,,,,,error
Western Region - II,Gujarat,Kukma,AIS,220kV,,,,,error
Western Region - II,Madhya Pradesh,KUKSHI,AIS,220kV,,,,,error
Southern Region - II,Kerala,Kundara,AIS,220kV,,,,,error
Northern Region,Himachal Pradesh,Kunihar,AIS,220kV,,,,,error
Western Region,Maharashtra,Kupwad T/F,AIS,220kV,MAR-19,,,,error
Southern Region,Andhra Pradesh,Kurnool PS (Part-A and Part-B,AIS,400kV,FEB-25,,,,error
Southern Region,Andhra Pradesh,Kurnool PS Part-A & Part-B,AIS,400kV,APR-25,03/25,,,error
Southern Region - I,Andhra Pradesh,Kurnool,AIS,400kV,,,,,error
Southern Region - I,Andhra Pradesh,KURNOOL,AIS,765kV,,,,,error
Southern Region - I,Andhra Pradesh,Kurnool-III,AIS,765kV,,,,,error
Southern Region - I,Andhra Pradesh,Kurnool-IV,AIS,220kV,,,,,error
Southern Region - I,Andhra Pradesh,Kurnool-IV,AIS,765kV,,,,,error
Southern Region - I,Andhra Pradesh,Kurnool-V,AIS,765kV,,,,,error
Western Region - I,Chattishgarh,Kurud,AIS,400kV,,,,,error
Western Region,Chhattisgarh,Kurud,AIS,400kV,APR-25,03/25,,,error
Northern Region 1,Haryana,KURUKSHETRA,GIS,400kV,,,,,error
Southern Region,Kerala,kV GIS Pathnamthitta,AIS,220kV,APR-25,03/25,,,error
Northern Region,Uttarakhand,kV GIS S/s Baram,AIS,220kV,MAR-25,03/25,,,error
Northern Region,Rajasthan,kV GSS Aspur,AIS,220kV,,,,,error
Northern Region,Rajasthan,KV GSS Chandan,AIS,220kV,,,,,error
Northern Region,Rajasthan,kV GSS Pachpadra,AIS,400kV,JAN-25,12/24,,,error
Northern Region,Rajasthan,kV GSS Rayla,AIS,220kV,JUN-25,,,,error
Northern Region,Rajasthan,kV GSS Sayla,AIS,220kV,MAR-25,02/25,,,error
Northern Region,Rajasthan,"kV GSS, Bansur",AIS,220kV,,,,,error
Northern Region,Rajasthan,"kV GSS, Bhiwadi",AIS,220kV,,,,,error
Northern Region,Rajasthan,"kV GSS, Ratangarh",AIS,220kV,,,,,error
Southern Region,Telangana,kV Jurala SS,AIS,220kV,MAR-25,02/25,,,error
Southern Region,Telangana,kV Mahabubabad S/S,AIS,220kV,APR-25,03/25,,,error
Northern Region,Haryana,kV Mehna Khera,AIS,220kV,FEB-25,01/25,,,error
Northern Region,Haryana,kV Nawada,AIS,220kV,FEB-25,01/25,,,error
Southern Region,Telangana,kV Nirmal SS,AIS,220kV,MAR-25,02/25,,,error
Western Region,Maharashtra,kV Palghar SS,AIS,220kV,MAR-25,02/25,,,error
Northern Region,Punjab,kV S/S Nakodar,AIS,400kV,DEC-24,11/24,,,error
Northern Region,Haryana,kV Sampla,AIS,220kV,FEB-25,01/25,,,error
Northern Region,Himachal Pradesh,Lahal S/S,AIS,220kV,MAR-20,,,,error
Northern Region,Himachal Pradesh,Lahal,AIS,220kV,,,,,error
Northern Region,Himachal Pradesh,Lahal,AIS,400kV,,,,,error
Western Region,Maharashtra,Lakhampur / Dindori T/F,AIS,220kV,,,,,error
Eastern Region - 1,Bihar,LAKHISARAI,AIS,400kV,,,,,error
Western Region,Gujarat,Lalpar,AIS,220kV,,,,,error
ODISHA,Odisha,Lapanga,AIS,220kV,,,,,error
